task,train_seed,split,stdmax,eval_noise_sigma,closed_loop_score,base_closed_loop_score,best_closed_loop_score,normalized_recovery,regime,atr_q90,atr_rel,smpr
TwoRoom,3072,calibration,0.0,0.08,65.66666666666667,65.66666666666667,97.66666666666667,0.0,fragile,1.5144974763039856,1.0,0.31147539615631104
TwoRoom,3072,calibration,0.01,0.08,94.0,65.66666666666667,97.66666666666667,0.8854166666666665,robust,1.0454658513469122,0.6903054430293876,0.7540982961654663
TwoRoom,3072,calibration,0.02,0.08,94.33333333333333,65.66666666666667,97.66666666666667,0.895833333333333,robust,0.524863134862661,0.34655926673681164,0.9180327653884888
TwoRoom,3072,calibration,0.03,0.08,97.0,65.66666666666667,97.66666666666667,0.9791666666666665,robust,0.3828659421463786,0.2528006471696034,0.9508196115493774
TwoRoom,3072,calibration,0.04,0.08,96.66666666666667,65.66666666666667,97.66666666666667,0.96875,robust,0.22495174734177023,0.14853226952265886,0.9508196115493774
TwoRoom,3072,calibration,0.05,0.08,95.33333333333333,65.66666666666667,97.66666666666667,0.927083333333333,robust,0.15127483843110764,0.09988451007543588,0.9836065173149109
TwoRoom,3072,calibration,0.06,0.08,96.33333333333333,65.66666666666667,97.66666666666667,0.958333333333333,robust,0.1234770073397245,0.08153001855180414,0.9999999403953552
TwoRoom,3072,calibration,0.07,0.08,96.66666666666667,65.66666666666667,97.66666666666667,0.96875,robust,0.10804642401409735,0.07134143549567103,0.9836065173149109
TwoRoom,3072,calibration,0.08,0.08,97.66666666666667,65.66666666666667,97.66666666666667,1.0,robust,0.09345786316418216,0.06170882726873793,0.9999999403953552
TwoRoom,3073,heldout,0.0,0.08,71.666667,71.666667,97.333333,0.0,fragile,1.5172889279112693,1.0,0.2950819432735443
TwoRoom,3073,heldout,0.01,0.08,95.666667,71.666667,97.333333,0.9350649593523369,robust,1.2074334060413774,0.7957834423161281,0.6393442153930664
TwoRoom,3073,heldout,0.02,0.08,94.333333,71.666667,97.333333,0.8831168800809579,robust,0.41332575614051703,0.2724107113267541,0.9344261884689331
