split,task,train_seed,fragile_n,robust_n,fragile_atr_rel_median,robust_atr_rel_median,fragile_smpr_median,robust_smpr_median,atr_direction_ok,smpr_direction_ok,joint_direction_ok
calibration,Cube,3072,2,4,0.9567857609676446,0.11080682737685943,0.6499999910593033,1.0,1,1,1
calibration,PushT,3072,1,7,1.0,0.14694973445962142,0.4285714328289032,1.0,1,1,1
calibration,Reacher,3072,1,6,1.0,0.034864690731792325,0.7699999809265137,1.0,1,1,1
calibration,TwoRoom,3072,1,8,1.0,0.12420838979904736,0.31147539615631104,0.9672130644321442,1,1,1
heldout,Cube,3073,1,6,1.0,0.07353182859779661,0.41999998688697815,1.0,1,1,1
heldout,Cube,3074,1,6,1.0,0.06520775741290838,0.44999998807907104,1.0,1,1,1
heldout,PushT,3073,1,6,1.0,0.09228515838819179,0.23469386994838715,1.0,1,1,1
heldout,PushT,3074,1,6,1.0,0.11090328198080551,0.6530612111091614,1.0,1,1,1
heldout,Reacher,3073,1,6,1.0,0.03778411787956665,0.699999988079071,0.9899999499320984,1,1,1
heldout,Reacher,3074,1,6,1.0,0.04046083689128896,0.7299999594688416,0.9899999499320984,1,1,1
heldout,TwoRoom,3073,1,8,1.0,0.11071148952432985,0.2950819432735443,0.9918032288551331,1,1,1
heldout,TwoRoom,3074,1,7,1.0,0.122691025972097,0.4098360538482666,0.9836065173149109,1,1,1
all,Cube,3072,2,4,0.9567857609676446,0.11080682737685943,0.6499999910593033,1.0,1,1,1
all,Cube,3073,1,6,1.0,0.07353182859779661,0.41999998688697815,1.0,1,1,1
all,Cube,3074,1,6,1.0,0.06520775741290838,0.44999998807907104,1.0,1,1,1
all,PushT,3072,1,7,1.0,0.14694973445962142,0.4285714328289032,1.0,1,1,1
all,PushT,3073,1,6,1.0,0.09228515838819179,0.23469386994838715,1.0,1,1,1
all,PushT,3074,1,6,1.0,0.11090328198080551,0.6530612111091614,1.0,1,1,1
all,Reacher,3072,1,6,1.0,0.034864690731792325,0.7699999809265137,1.0,1,1,1
all,Reacher,3073,1,6,1.0,0.03778411787956665,0.699999988079071,0.9899999499320984,1,1,1
all,Reacher,3074,1,6,1.0,0.04046083689128896,0.7299999594688416,0.9899999499320984,1,1,1
all,TwoRoom,3072,1,8,1.0,0.12420838979904736,0.31147539615631104,0.9672130644321442,1,1,1
all,TwoRoom,3073,1,8,1.0,0.11071148952432985,0.2950819432735443,0.9918032288551331,1,1,1
all,TwoRoom,3074,1,7,1.0,0.122691025972097,0.4098360538482666,0.9836065173149109,1,1,1
