task,rho,n_training_seeds,cert_pass_rate_mean,cert_pass_rate_std,top1_agree_mean,top1_agree_std,max_drift_q95,max_drift_q99,margin_q10,margin_q50,margin_q90,proxy_gap_q50q90_mean,proxy_gap_positive_rate,notes
TwoRoom,0.00,3,,,0.20666666825612387,0.0385861136723444,,,,94.14076487223308,,-266.5171432495117,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.01,3,,,0.5100000003973643,0.04546061256189082,,,,100.56019337972005,,-70.28016408284505,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.02,3,,,0.763333335518837,0.01699672719206236,,,,99.03790537516277,,34.927605946858726,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.03,3,,,0.8499999990065893,0.01414213618568893,,,,93.26332092285156,,55.666395823160805,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.04,3,,,0.9066666687528292,0.026246690907376382,,,,82.61460622151692,,60.2847703297933,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.05,3,,,0.940000000099341,0.008164965626776101,,,,85.6313959757487,,67.59381357828777,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.06,3,,,0.9466666666169962,0.004714044224483851,,,,80.94021097819011,,65.3524211247762,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.07,3,,,0.9366666662196318,0.00942809020508639,,,,70.23500569661458,,57.50000445048014,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
TwoRoom,0.08,3,,,0.960000000273188,0.008164966387197763,,,,65.46274058024089,,53.45847415924072,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.00,3,,,0.10999999443689983,0.08286537430580108,,,,129.20811971028647,,-198.43529764811197,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.01,3,,,0.5833333333333334,0.14383632999582777,,,,132.05403645833334,,-28.895713806152344,0.3333333333333333,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.02,3,,,0.823333332935969,0.11614167822118167,,,,132.34638214111328,,38.947916666666664,0.6666666666666666,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.03,3,,,0.9366666668405136,0.028674418503758327,,,,143.29210408528647,,106.96358489990234,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.04,3,,,0.933333333581686,0.004714045980602539,,,,142.37537638346353,,115.57609621683757,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.05,3,,,0.9366666674613953,0.012472190346720811,,,,126.12442779541016,,98.57863680521648,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.06,3,,,0.9566666676352421,0.028674416915885577,,,,132.18439229329428,,109.82135009765625,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.07,3,,,0.9633333335320154,0.009428091083145735,,,,130.37464141845703,,112.84614499409993,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
PushT,0.08,3,,,0.9733333339293798,0.00942809020508639,,,,132.04578653971353,,117.73607381184895,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.00,3,,,0.09666665395100911,0.016996742777973455,,,,17.289540608723957,,-417.3200276692708,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.01,3,,,0.3700000047683716,0.07118053753447094,,,,18.950170516967773,,-250.724334081014,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.02,3,,,0.8099999992797772,0.1606237869458092,,,,18.542755126953125,,-56.79968023300171,0.3333333333333333,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.03,3,,,0.960000000273188,0.008164966387197763,,,,17.58095423380534,,-6.689947128295898,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.04,3,,,0.9800000004470348,0.008164965626776053,,,,19.287330627441406,,4.789068857828776,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.05,3,,,0.9633333341528972,0.004714045102543195,,,,15.177976608276367,,5.38505204518636,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.06,3,,,0.9900000002235174,0.0,,,,18.92540105183919,,8.901650746663412,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.07,3,,,0.9966666667411724,0.004714045102543195,,,,18.797756830851238,,9.714690526326498,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Reacher,0.08,3,,,0.9833333337058624,0.00942809020508639,,,,20.078541437784832,,11.593287626902262,1.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
Cube,0.00,3,,,0.08666668335596721,0.03299831308362434,,,,82.75600179036458,,-314.6528625488281,0.0,Top-1 agreement is observed from measured flip-rate summaries; cert-pass requires sample-level fixed-pool traces.
