task,training_seed,rho,clean_eval_score,obs_sigma_003_score,obs_sigma_005_score,obs_sigma_008_score,base_clean_score,base_obs_sigma_008_score,max_obs_sigma_008_score,recovery_score_threshold,clean_constraint_pass,recovery_label,normalized_recovery,atr_q80,atr_q90,atr_q95,atr_normalized_q90,same_radius_q90,clean_transition_l2_median,smpr_delta0,smpr_delta005,smpr_delta010,semantic_margin_median,semantic_pair_count,cost_drift_q50,cost_drift_q90,cost_drift_q95,clean_margin_q10,clean_margin_q50,clean_margin_q90,proxy_gap_q50q90,proxy_gap_q50q95,proxy_gap_scaled,top1_agree,cert_pass_rate,candidate_count,data_notes
TwoRoom,3072,0.00,94.0,91.0,72.33333333333333,65.66666666666667,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,false,0.0,,1.5144974763039856,,1.0,21.572093963623047,14.243730545043945,0.31147539615631104,,,-2.7326622009277344,61.0,42.016937255859375,184.32960510253906,,,89.80335998535156,297.7183837890625,-278.85585021972656,,-0.6082412575227215,0.1899999976158142,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.01,93.66666666666667,94.0,92.66666666666667,94.0,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.8854166666666665,,1.0454658513469122,,0.6903054430293876,15.2243013381958,14.562217712402344,0.7540982961654663,,,6.34306526184082,61.0,10.954879760742188,64.4239501953125,,,105.56773376464844,305.2370910644531,-23.280166625976562,,-0.09931149306601293,0.5600000023841858,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.02,95.0,94.66666666666667,94.66666666666667,94.33333333333333,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.895833333333333,,0.524863134862661,,0.34655926673681164,7.584930419921875,14.451253890991211,0.9180327653884888,,,12.309497833251953,61.0,4.74603271484375,31.17001724243164,,,97.62648010253906,290.2239685058594,35.28644561767578,,0.22058645028735555,0.7699999958276749,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.03,96.33333333333333,96.0,96.33333333333333,97.0,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.9791666666666665,,0.3828659421463786,,0.2528006471696034,5.352897644042969,13.981127738952637,0.9508196115493774,,,12.671735763549805,61.0,3.2113189697265625,22.8834285736084,,,82.34349822998047,290.634765625,36.57664108276367,,0.28550885660312336,0.8299999982118607,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.04,96.33333333333333,97.66666666666667,96.0,96.66666666666667,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.96875,,0.22495174734177023,,0.14853226952265886,3.1249732971191406,13.891749382019043,0.9508196115493774,,,12.125232696533203,61.0,1.734466552734375,10.544668197631836,,,75.58724212646484,297.5698547363281,54.49790573120117,,0.5637136374137605,0.9200000017881393,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.05,96.0,96.0,95.66666666666667,95.33333333333333,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.927083333333333,,0.15127483843110764,,0.09988451007543588,2.1343517303466797,14.109099388122559,0.9836065173149109,,,14.733627319335938,61.0,1.3109130859375,8.273514747619629,,,87.29236602783203,274.67523193359375,70.74533653259277,,0.681295727659294,0.9499999992549419,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.06,96.66666666666667,96.66666666666667,96.0,96.33333333333333,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.958333333333333,,0.1234770073397245,,0.08153001855180414,1.6965805292129517,13.740052223205566,0.9999999403953552,,,14.44884204864502,61.0,1.1306304931640625,7.3716864585876465,,,74.91059875488281,295.8648376464844,60.16722583770752,,0.6711049685315703,0.9499999992549419,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.07,96.0,96.33333333333333,96.0,96.66666666666667,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,0.96875,,0.10804642401409735,,0.07134143549567103,1.483778953552246,13.73279094696045,0.9836065173149109,,,14.786296844482422,61.0,0.968231201171875,6.128489971160889,,,68.07719421386719,292.27227783203125,55.82021427154541,,0.6948501662943194,0.9499999992549419,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3072,0.08,98.33333333333333,98.0,98.33333333333333,97.66666666666667,94.0,65.66666666666667,97.66666666666667,91.26666666666668,true,true,1.0,,0.09345786316418216,,0.06170882726873793,1.214482069015503,12.994969367980957,0.9999999403953552,,,14.791108131408691,61.0,0.975677490234375,5.593635559082031,,,66.26133728027344,282.4266052246094,55.074066162109375,,0.7111046576689656,0.9600000008940697,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.00,94.333333,92.666667,88.666667,71.666667,94.333333,71.666667,97.333333,92.1999998,true,false,0.0,,1.5172889279112693,,1.0,21.68018341064453,14.288763999938965,0.2950819432735443,,,-2.367532730102539,61.0,46.60411071777344,188.55130004882812,,,98.96405792236328,294.69500732421875,-278.13854217529297,,-0.5842428523183745,0.17000001668930054,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.01,96.333333,96.0,97.0,95.666667,94.333333,71.666667,97.333333,92.1999998,true,true,0.9350649593523369,,1.2074334060413774,,0.7957834423161281,17.421016693115234,14.428138732910156,0.6393442153930664,,,4.312619209289551,61.0,12.11651611328125,100.45912170410156,,,101.13883209228516,304.9523620605469,-99.77941131591797,,-0.3303329715107314,0.44999998807907104,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.02,95.0,95.333333,94.0,94.333333,94.333333,71.666667,97.333333,92.1999998,true,true,0.8831168800809579,,0.41332575614051703,,0.2724107113267541,5.990120887756348,14.492493629455566,0.9344261884689331,,,11.773941040039062,61.0,4.14898681640625,28.847158432006836,,,100.20873260498047,309.8153076171875,42.5144157409668,,0.2692437915793049,0.7800000011920929,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.03,94.333333,95.0,95.0,94.333333,94.333333,71.666667,97.333333,92.1999998,true,true,0.8831168800809579,,0.31787704876756295,,0.20950330745849371,4.545101642608643,14.298300743103027,0.9672130346298218,,,13.16728401184082,61.0,2.7549285888671875,18.33183479309082,,,96.96142578125,312.32952880859375,60.29775619506836,,0.4512457486317667,0.8599999994039536,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.04,95.333333,95.333333,95.333333,95.333333,94.333333,71.666667,97.333333,92.1999998,true,true,0.9220779200539719,,0.18739531436214732,,0.12350667754500753,2.6230361461639404,13.99734115600586,0.9999999403953552,,,13.75597095489502,61.0,1.7372589111328125,10.503219604492188,,,84.10855102539062,308.6691589355469,63.10211181640625,,0.6003150613980633,0.8700000047683716,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.05,94.333333,93.666667,94.333333,94.333333,94.333333,71.666667,97.333333,92.1999998,true,true,0.8831168800809579,,0.14856732013351304,,0.09791630150365219,2.105093240737915,14.169288635253906,0.9999999403953552,,,14.492164611816406,61.0,1.546905517578125,9.484333992004395,,,80.25460815429688,283.7869567871094,61.285940170288086,,0.6176568901520851,0.9299999997019768,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.06,97.666667,97.0,97.0,97.333333,94.333333,71.666667,97.333333,92.1999998,true,true,1.0,,0.14182382008298536,,0.09347186120854575,1.8944076299667358,13.357471466064453,0.9999999403953552,,,14.450777053833008,61.0,1.197967529296875,7.811504364013672,,,76.40376281738281,295.2120666503906,60.78075408935547,,0.6604681775602966,0.9400000013411045,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.07,97.333333,97.0,97.0,96.666667,94.333333,71.666667,97.333333,92.1999998,true,true,0.9740259993253509,,0.12172704920747152,,0.08022667731125109,1.6160694360733032,13.27617359161377,0.9999999403953552,,,14.427406311035156,61.0,1.1815185546875,6.7703070640563965,,,66.56333923339844,274.3887939453125,53.022725105285645,,0.6619239485720767,0.9299999997019768,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3073,0.08,97.0,97.333333,97.0,97.333333,94.333333,71.666667,97.333333,92.1999998,true,true,1.0,,0.1321221251210847,,0.08707776264008378,1.7037322521209717,12.895132064819336,0.9836065173149109,,,16.02686882019043,61.0,1.11785888671875,6.663508892059326,,,68.29881286621094,274.64263916015625,54.971795082092285,,0.6734607739256084,0.9499999992549419,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
TwoRoom,3074,0.00,95.666667,94.0,83.0,69.0,95.666667,69.0,98.0,92.2,true,false,0.0,,1.4947153046014692,,1.0,21.129215240478516,14.135946273803711,0.4098360538482666,,,-1.390131950378418,61.0,36.05638122558594,168.10595703125,,,93.65487670898438,295.22296142578125,-242.55703735351562,,-0.5642609351566715,0.25999999046325684,,65.0,"q80/q95 ATR, q95 drift, q10 margin, and pool cert-pass require raw tails; retained summaries only"
