task,checkpoint_type,n_training_seeds,n_sequences,num_noise_draws,std_key_median,sensitivity_slope_mean,sensitivity_slope_pstdev,sensitivity_slope_vs_base,endpoint_slope_vs_base,radius_q90_over_sigma_mean,atr_q90_mean,atr_normalized_q90_mean,notes
TwoRoom,base,3,100,5,0.0,434892.81972249347,147143.0157747628,1.0,0.0026735359133384542,1008.9728355407715,1.508833902938908,1.0,"median over small sigmas per seed, then mean over training seeds"
TwoRoom,onset,3,100,5,0.01,51700.852711995445,26098.755387544945,0.11888182643481197,0.0026735359133384542,321.31908734639484,0.9268247334023568,0.6130163461631642,"median over small sigmas per seed, then mean over training seeds"
TwoRoom,endpoint,3,100,5,0.08,1162.7015719811122,122.99937558442028,0.0026735359133384542,0.0026735359133384542,50.159784158070885,0.11120286515502383,0.07368676367528113,"median over small sigmas per seed, then mean over training seeds"
PushT,base,3,100,5,0.0,198623.42834472656,55237.54976373462,1.0,0.00825859609459295,642.1408176422119,3.5801502993462258,1.0,"median over small sigmas per seed, then mean over training seeds"
PushT,onset,3,100,5,0.03,5263.538161913554,1515.5826896881642,0.02650008715375847,0.00825859609459295,97.75506854057312,0.8177482628862932,0.23026744149788028,"median over small sigmas per seed, then mean over training seeds"
PushT,endpoint,3,100,5,0.08,1640.3506696224213,84.94774696277862,0.00825859609459295,0.00825859609459295,53.2532254854838,0.24658488087623917,0.06897407212396857,"median over small sigmas per seed, then mean over training seeds"
Reacher,base,3,100,5,0.0,89829.44806416829,17864.004343303084,1.0,0.0017545764788934608,448.3208656311035,2.6281929154541346,1.0,"median over small sigmas per seed, then mean over training seeds"
Reacher,onset,3,100,5,0.03,326.8559680630763,175.5682146816076,0.0036386282572903237,0.0017545764788934608,25.918477773666382,0.1938753314028695,0.07378613793347805,"median over small sigmas per seed, then mean over training seeds"
Reacher,endpoint,3,100,5,0.08,157.6126366853714,2.8990307401156215,0.0017545764788934608,0.0017545764788934608,19.1816379626592,0.08221889149710185,0.031296062050140384,"median over small sigmas per seed, then mean over training seeds"
Cube,base,3,100,5,0.0,53188.55126698812,13007.271254247926,1.0,0.008267070869906811,316.76390171051025,2.3199742741064218,1.0,"median over small sigmas per seed, then mean over training seeds"
Cube,onset,3,100,5,0.03,1267.6871567964554,120.8145335569327,0.023833835037790456,0.008267070869906811,51.70355141162872,0.7114177484332332,0.3066236731885624,"median over small sigmas per seed, then mean over training seeds"
Cube,endpoint,3,100,5,0.08,439.7135227918625,37.92845472845813,0.008267070869906811,0.008267070869906811,31.046175956726074,0.10025460514306327,0.043176529931486095,"median over small sigmas per seed, then mean over training seeds"
