task,checkpoint_type,n_training_seeds,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
TwoRoom,base,3,0.01811050246902604,1.0,0.5914283394813538,1.0,0.033621125751071505,1.0,3.1389154698245476,1.0
TwoRoom,onset,3,0.0031955932138187813,0.176449726852368,0.5229013429747688,0.8841330522533314,0.005652923939449717,0.16813606960408095,3.39044148423168,1.0801315030064162
TwoRoom,endpoint,3,7.24281029154857e-05,0.00399923210520292,0.742796454164717,1.2559365261666422,0.00010880175608372878,0.0032361128205310396,2.0223623574720166,0.6442869764775979
PushT,base,3,0.0015918426975911977,1.0,1.4939045641157362,1.0,0.011391383450047499,1.0,4.924868150313405,1.0
PushT,onset,3,8.89147990837254e-05,0.05585652352350689,1.4530732499228582,0.9726680571345288,0.00033311517761340216,0.029242732375233418,2.578296514450462,0.5235259982110153
PushT,endpoint,3,2.724467723919691e-05,0.017115181845809263,1.486077454355028,0.9947606360213905,0.00011347159912256426,0.009961178079918916,3.117884100864803,0.6330898626527471
Reacher,base,3,0.006041025764006876,1.0,0.19759449362754822,1.0,0.0026818549518141887,1.0,2.172532380921976,1.0
Reacher,onset,3,7.626063416367756e-05,0.012623788929695874,0.18173389633496603,0.9197315825891469,4.186543985533944e-05,0.01561062794504185,3.0207814669121333,1.3904425514846313
Reacher,endpoint,3,1.9782924203121878e-05,0.0032747624287568526,0.175355297823747,0.8874503261931957,1.4800201919850578e-05,0.005518643694670629,3.7774513524843703,1.7387318990759075
Cube,base,3,0.0016499862345167838,1.0,0.2930741442574395,1.0,0.0020832661834974137,1.0,4.278271454383562,1.0
Cube,onset,3,0.00011372004789796546,0.06892181614549626,0.32087721427281696,1.0948670176477764,0.0001597140309593034,0.07666520592734505,4.329337218717972,1.0119360739211833
Cube,endpoint,3,3.718369420778319e-05,0.022535760256613798,0.31618501742680866,1.0788567453738542,5.851803419271024e-05,0.028089561793044334,4.456899739231732,1.0417524429557048
