task,train_seed,stdmax,eval_noise_sigma,diag_seed,num_probe_states,horizon,atr_q90,same_radius_q90,clean_transition_l2_median,smpr,same_radius_median,semantic_diff_l2_median,semantic_margin_median,semantic_pair_count,smpr_status,smpr_pair_rule,atr_source,smpr_source
TwoRoom,3072,0.0,0.08,9101,100,8,1.5144974763039856,21.572093963623047,14.243730545043945,0.31147539615631104,17.86842918395996,15.24356460571289,-2.7326622009277344,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.01,0.08,9101,100,8,1.0454658513469122,15.2243013381958,14.562217712402344,0.7540982961654663,7.927867412567139,15.399575233459473,6.34306526184082,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.02,0.08,9101,100,8,0.524863134862661,7.584930419921875,14.451253890991211,0.9180327653884888,2.795975685119629,15.53671646118164,12.309497833251953,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.03,0.08,9101,100,8,0.3828659421463786,5.352897644042969,13.981127738952637,0.9508196115493774,2.187506914138794,15.662430763244629,12.671735763549805,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.04,0.08,9101,100,8,0.22495174734177023,3.1249732971191406,13.891749382019043,0.9508196115493774,1.831615924835205,15.709754943847656,12.125232696533203,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.05,0.08,9101,100,8,0.15127483843110764,2.1343517303466797,14.109099388122559,0.9836065173149109,0.9265725612640381,16.075031280517578,14.733627319335938,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.06,0.08,9101,100,8,0.1234770073397245,1.6965805292129517,13.740052223205566,0.9999999403953552,0.7753173112869263,15.535324096679688,14.44884204864502,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.07,0.08,9101,100,8,0.10804642401409735,1.483778953552246,13.73279094696045,0.9836065173149109,0.7220908999443054,15.498498916625977,14.786296844482422,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3072,0.08,0.08,9101,100,8,0.09345786316418216,1.214482069015503,12.994969367980957,0.9999999403953552,0.8886994123458862,15.379831314086914,14.791108131408691,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3073,0.0,0.08,9101,100,8,1.5172889279112693,21.68018341064453,14.288763999938965,0.2950819432735443,17.20374870300293,15.461257934570312,-2.367532730102539,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3073,0.01,0.08,9101,100,8,1.2074334060413774,17.421016693115234,14.428138732910156,0.6393442153930664,11.899813652038574,15.539799690246582,4.312619209289551,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3073,0.02,0.08,9101,100,8,0.41332575614051703,5.990120887756348,14.492493629455566,0.9344261884689331,3.1752536296844482,15.790637969970703,11.773941040039062,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
