task,split,n_rows,cert_pass_rate_median,cert_pass_rate_mean,top1_flip_rate_median,top1_flip_rate_mean,gap_q10_q95_median,gap_q50_q95_median,obs_sigma_008_score_median
TwoRoom,fragile,4,0.054999999701976776,0.08749999944120646,0.7899999916553497,0.7249999940395355,-1053.6536893844604,-948.4386978149414,70.33333350000001
TwoRoom,recovered,23,0.6700000166893005,0.6104347796543784,0.07000000029802322,0.09521739120068758,-268.98056268692017,-162.2787628173828,96.0
PushT,fragile,9,0.1599999964237213,0.17999999763237107,0.3799999952316284,0.5199999995529652,-797.6163611412048,-665.1521606445312,40.333333
PushT,recovered,18,0.6700000166893005,0.6522222326861488,0.05999999865889549,0.05555555545207527,-193.46433639526367,-79.76409149169922,85.0
Reacher,fragile,9,0.05999999865889549,0.1088888854202297,0.5400000214576721,0.5466666639679008,-872.9593467712402,-858.875373840332,45.666666666666664
Reacher,recovered,18,0.5449999868869781,0.5188888907432556,0.024999999441206455,0.031666666372782655,-29.33256059885025,-15.187944412231445,81.50000016666667
Cube,fragile,12,0.07500000111758709,0.3191666652758916,0.5349999964237213,0.471666662953794,-713.3609218597412,-658.3932151794434,50.666666500000005
Cube,recovered,15,0.7799999713897705,0.6446666558583577,0.009999999776482582,0.035333333909511565,-55.309943199157715,4.698005676269531,65.0
ALL,fragile,34,0.06499999947845936,0.19941176260438034,0.5400000214576721,0.5341176442144548,-847.6884580254555,-760.5933532714844,49.0
ALL,recovered,74,0.6100000143051147,0.6052702701575047,0.03999999910593033,0.05797297296089095,-136.6165919303894,-56.316627502441406,83.66666683333334
